NA	DEV-201244	negative	honey badger don’t know the 4th amendment , " after mathieu , 20 , gave the police his consent to search the apament ... "
258182556678230016	211773798	negative	arianators please help me . i'm a girl who's body is very sore and just asking for ariana & jennette's goodluck for tomorrow . please EMOTICON_SAD
NA	DEV-201287	negative	AT_USER i was mad too i had vernon davis , frank gore , and i was up by like 15 going in to monday night .. i’m tight lol
110195528733704192	42828974	negative	my sons were watching mtv the other night . looked like an absolute freak show . what happened to hank williams , johnny cash , real music ?
NA	DEV-200061	positive	very amazayn voice to the 1st verse man zayn malik ! AT_USER xx
NA	DEV-201098	negative	trent richardson is the bad-weather back the cleveland browns have long needed : bill livingston’s mon ... HTTP_LINK #cleveland
262786850777866240	14502987	negative	i think i may have spent too much on carmelo anthony . i only hope that his thick-framed black glasses will console me in the post-season .
196318159245017088	523610266	positive	heat vs knicks gone be the best series in the 1st round ..
263895898654904320	22544408	negative	realized that i've just spent halloween , super bowl sunday , and my last two bihdays either in the library , or in a computer lab ..
264195935050035200	21705656	negative	august 11th 2010 was the day i met mitch ... i regret not taking a picture with him . fuck . i'll miss going to ss shows ... </3
240125304696365056	398069326	negative	 AT_USER : iebc may hold the most modern & credible elections , but that wont stop kenya from burning again if the intolerance we ...
258310410577522688	325168826	negative	im so tired that zulu is the 1st word that pops in my mind
NA	DEV-200203	negative	napoleon dynamite may be the most awkward person ever
NA	DEV-200775	positive	AT_USER aw thanks sam ! i miss you too much . & tomorrow you better text me . i have a lot to tell ya .
237943051551657984	159113544	positive	our se member the alresford community choir to share the stage with brit award winning AT_USER on sep 15 AT_USER . how exciting !
194439687853703168	452350609	positive	celebrating st george's day , the bard's bih day or even world book day ? april 23rd is a great day for history , heritage & culture . enjoy !
261641728426127362	218322629	positive	this " too cute " puppy show on animal planet might just be the greatest thing ever . i may never leave my room . #homeworkcanwait
263936487266070528	40548944	negative	fireworks go on sale tomorrow . i'm sorry , but after experiencing independence day in the states , nz fireworks can't impress me at all .
236908294143356929	15749080	negative	AT_USER boring #xfactor . seen it all before #xfactor . AT_USER let's have something new for autumn and no more dancing on ice in january .
