104245846148792321	25522610	positive	AT_USER good luck agaist tampa bay tonight .
198123583464148993	293310280	neutral	#us wichita wild vs . omaha beef may 5th game preview : wichita , ks- the wichita wild of the i ... HTTP_LINK #news #usa #wichita
256488997910609920	181180269	neutral	AT_USER 90s night in the kremlin next friday , bring your best whigfield costume
247558838348288000	800864281	neutral	hisd is the only district that don't got school tomorrow ii think .
264057266565693440	55376056	positive	big congrats goes out to tampa bay damage for 2nd place at cup and 2nd place overall in the paintball spos ... HTTP_LINK
263836633751769090	303738017	positive	AT_USER only you can answer before i try ! there's on wp8 a way to call 3rd p . apps ? like intents on android . i wanna switch to wp !
262699162812944385	339186777	neutral	bayern lost 1-2 to bayer leverkusen sunday . they remain at the top of the table and are allowed to slip up one ... HTTP_LINK
261448054157225984	163367906	positive	feb 13th at the bell center , bon jovi is back in mtl . just in time for my bihday , i'm just saying :p
213623443273433088	174338017	neutral	jean dujardin may join the unlikely duo of leo dicaprio and jonah hill in the wolf of wall street . HTTP_LINK
206550005778100224	195235053	neutral	end of the 1st quaer . AT_USER are down 16-14 to the wichita wild
258064133558259712	329930757	negative	AT_USER brain is fried ... won't turn off ... feels like ground hog day ... may need shock treatments to reboot !!!
100002367457603584	144317286	positive	AT_USER yees i'm down . all my detroit frnds always talk about those malls but i've never been there ! it's gna be my 1st time yaay !
264252545348800513	225928818	positive	AT_USER ohh cool , sta going to fca on thursday mornings !
103173048097714176	31347185	positive	watched ' gandhi ' with gaurika today . was so nice answering her 100 questions . we should have some new age patriotic movies though ...
256942247784873984	102884742	neutral	met slum village , just blaze , and 9th wonder . saw fred the godson , raekwon , nipsey hussle , and trae the truth perform , all in one day .
210209244912422912	382157504	positive	AT_USER girl i been in timmonsville since may 4th and yayyy you miss me lol
262149399956844545	21955271	negative	i think i may be the only person around not excited that beyonce is the half time performer for the superbowl .
