108758959632035841	172533762	positive	AT_USER congrats to lloyd robeson on the gordon sinclair award tonight at the geminis . last broadcast on ctv nat'l news is thursday .
261980583238971392	58854397	neutral	timmonsville with a 26 yd throw . 1st down on the 1 yard line . trying to even the score AT_USER 
262155234435018752	154678717	positive	how badly i miss andy carroll . knowing that the derby game is tomorrow , he always played very well and scored against blue noses .
262777224032292864	394900582	neutral	AT_USER you going to zachary's tomorrow man
264185448358875136	412579196	negative	was going to watch brooklyn nets - new york knicks tonight but it got postponed , knicks gonna get butt-fucked by miami tomorrow EMOTICON_SAD
NA	DEV-201409	positive	united win rvp anytime ... i can see the papers back page already for sunday #banker
263398004801798146	245624274	neutral	AT_USER but how you gon handle it if you are announcing on super bowl sunday ?!! you might put that gold back in yo grill .
263695129288794113	292106022	neutral	make sure to check out the weekly friday's round - up of book signings , interviews and reviews over at the oak ... HTTP_LINK
103142803332280320	41237885	positive	heading back to the states today after two months .. then moving to florida tomorrow ! very exciting times EMOTICON_HAPPY
262142704748724224	25955476	positive	AT_USER youve done bob's great , the pacific great , now how about one following the 15th usaaf , 456th squadron b-24 , capt . klingler ???
102705222475984896	248258878	negative	gavin henson looks set to miss the rugby world cup after dislocating a bone in his right wrist yesterday
NA	DEV-200972	neutral	midnight phone call from AT_USER filling me in about his mad antics tonight ! may as well sta calling him muhammad ali from now on ..
NA	DEV-201367	negative	february 13 is going to kill me AT_USER AT_USER AT_USER thanks for skipping indiana -.-
263081234824065024	568852619	neutral	AT_USER will you be at cypress tomorrow night ?
252699728666558464	71621762	neutral	cong to hold rallies on fdi . the first rally will be held at delhi's ramlila ground on oct 28 , to be addressed by the pm and mrs s gandhi .
NA	DEV-200355	negative	tv fundraiser 4 sandy friday night . during katrina telethon kanye said bush was killing black people ... doubt we’ll hear opposite about obama
112413271109287936	109016107	neutral	ipad news : romo will have to keep cowboys in the hunt - dallas morning news ( subscription ) HTTP_LINK
217093187293036545	32750427	negative	AT_USER lorenzo beasley . he was killed on july 17th of last year on the corner of 53rd and king dr. ~ #mile 5
262206312023212033	321973006	positive	in rugby news , AT_USER are winning 26-5 at cobham , with the four-try bonus point in the bag . see the monday gazette for a full repo .
264214955862138881	169706206	positive	AT_USER i know , it went from way too far off to here . i'll see iupui at maryland on jan 1 , just excited to go back to baltimore lol
264089658097549312	753528871	neutral	sat on a bench and my feet couldn't touch the ground . 1 , drexel , shoer benches please . 2 , god , 6'4 " that's all im askin . #asianboyproblems
NA	DEV-200453	neutral	tina fey and amy poehler are going to host the golden globes on jan 13 . * hyperventilates *
257319483918663680	37398079	positive	gonna be at sm sta . rosa today 4pm with krissy & october 17 with jasmine cuis , khalil ramos & enrique gil @ moa see youuu
264084520108707841	367779823	negative	this time tomorrow , AT_USER and i will be well on our way to starkville for a sick weekend ... the usm game is going to be atrocious .
255225557673967616	478668117	neutral	staing to make our wicker lanterns today for the bemmy winter lantern parade ( ion 8th dec )- get involved free public workshops at acta
263511918399086593	35893160	neutral	more nba tomorrow .. free nba league pass till the 6th .. what did i do to deserve this ( rozay voice )
100257779373182976	350372883	positive	alright everyone lets do this . 2 winners tonight at 9pmest . girl and boy winners . 1600 microsoft points . @ me and follow for a chance to win
252164677994422272	91595676	positive	october 17th - november 3rd , don't miss the company of fools performance of the woman in black !! HTTP_LINK
NA	DEV-200872	neutral	while everyone is out in the freezing cold trick or treating , i sit here watching white collar . yes , this is how i spend my october 31st .
225672733084749824	88433137	negative	frank gaffney is not insane . he may not even be a true hater . he is a bigot for pay , just like steve emerson . hate is their racket .
262488876524920832	75212249	neutral	mark the dates : miss eah 2012 coronation night nov 24 , sat , live on starworld , 8pm . free-tv broadcast on sun , nov 25 , 10am on abs-cbn .
NA	DEV-200852	negative	ike taylor is the worst staer in the nfl ... he must work hard & finish 1st in all sprint drills ... how is he still staing ?
264155786471686147	24115508	negative	how's channel 4 celebrating its 30th anniversary ? is it pretending the first 20 years when it was any fucking good never happened ?
91030346635808768	256265574	negative	fake democrats lose in wisconsin primary recalls all six fake democrats lost to democrats suppoed by the pay in primaries tuesday that
249371510547034112	218615098	positive	world music festival is in full swing ! see you tomorrow evening in millennium park with the maria de barros at 6pm ! #chicago #wmfchicago
261265435918491648	162093803	neutral	#pistons struggle in 1st . trail minny 27-10 at end of 1 in winnipeg . det 3/17 fg with 6 turnovers . derrick williams 12 pts for minn .
260807368214986752	416363294	neutral	AT_USER i just ran a marathon on sunday with my hair bright pink for bca ! #becauseicare
100156401250336768	58602602	positive	AT_USER morning ? isn't it nearly afternoon in ireland ? EMOTICON_HAPPY oh , and good morning to you !
103444245989437441	212707756	neutral	after losing 2 last week , today the gop is trying to win 2 senate seats in wisconsin by recalling 2 democrats . it looks like they'll fail
232925641908031488	142359126	neutral	i am selling 2 tickets to see AT_USER at london o2 arena on the first date on their 2013 tour . friday , ( cont ) HTTP_LINK
261395521938259968	538018678	positive	game 3 tomorrow !!! i'm excited in this shit than the coming pro bowl haha
212599863785963522	251388134	positive	happy valentine's day ( to you that may have one )
NA	DEV-200019	positive	#repost chris bosh may be ugly . but he has a gorgeous wife and adorbs baby . i want to be happy like them one HTTP_LINK
101465421076643840	125774437	neutral	still going on vaca ... : still going on vaca ... ( third column , 7th story , link)related stories : obama considers bec ... HTTP_LINK
223665383901638656	32399954	neutral	AT_USER AT_USER one of my 1st music videos in the 90's is " bad blood " of AT_USER ' s dad . an aids awareness video of francis m .
257853886499536897	449174706	neutral	dtn kazakhstan : : capello ill tweak lineup for azerbaijan gamecoach fabio capello said monday he will tweak the ... HTTP_LINK
111373353666883584	93874882	positive	day 3 in the big brother house and it's ingleton waterfalls trail today , promises some amazing scenery !
264247456424935424	429312292	neutral	AT_USER hello . may i ask how did you get on set of castle ?
171079323292405760	184719374	neutral	i'm such a groupie ... just watched the " ni**as in paris " video ---> 1st thing i said was ... " i just ordered that snapback jay is wearing !!!
100623354729480192	288441574	positive	AT_USER yea got bk yesterday !! we'll figure sum out !! me , you , pooh , & dexter lol EMOTICON_HAPPY
248144864997421056	346235321	negative	steve emerson on sun news network with michael coren - political correctness has damaged all aspects of life HTTP_LINK …
262999886914519040	54033567	neutral	animal planet star tia torres of pit bulls & parolees to attend for the love of dogs festival in smyrna , ga nov 3rd HTTP_LINK
100139187625410560	290325271	positive	brilliant game by the eagles today . fitting way to mark 25 years of footy ! #goeagles #afleaglestigers
263777521710006272	216892059	positive	AT_USER AT_USER AT_USER AT_USER happy halloween spend it with bruno mars and shenanigans HTTP_LINK
